mr_id,updated,prod_volume,prod_cost,supl_quality,delivery_delay,quality_sc,mainten_hours,downtime_perc,inv_turnover,stockout_rate,worker_prod,safety_incid,energy_cons,energy_eff,add_proc_time,add_mater_cost
1,2025-10-23 01:13:32,2996,6852.36,93.99,6,81.62,12,1.18,10.36,2.14,40.41,0,60.55,63.86,136.82,289.26
2,2025-10-23 01:13:32,2361,8818.83,89.25,3,84.28,14,3.28,6.75,2.97,36.47,0,58.0,68.69,63.7,161.12
3,2025-10-23 01:13:32,3147,2202.86,80.6,3,81.04,8,4.17,8.09,3.02,34.16,0,52.48,65.58,113.16,285.74
4,2025-10-23 01:13:32,4023,6125.94,73.53,4,83.46,6,8.78,8.1,3.47,54.13,0,29.27,69.52,58.9,238.31
5,2025-10-23 01:13:32,2265,3698.71,86.98,4,75.53,4,6.11,7.0,1.63,47.86,0,42.75,72.86,131.96,285.37
6,2025-10-23 01:13:32,2265,4025.75,83.93,4,86.07,5,2.33,5.26,3.59,53.79,0,62.63,83.37,92.26,288.85
7,2025-10-23 01:13:32,4079,3815.21,88.95,6,85.01,24,5.97,8.65,0.3,56.9,1,34.23,71.79,138.06,330.4
8,2025-10-23 01:13:32,3267,3272.02,86.35,6,80.91,16,1.91,7.88,2.37,52.66,0,12.02,59.14,114.74,317.67
9,2025-10-23 01:13:32,2030,5097.04,90.5,5,88.3,3,7.17,9.0,2.51,56.58,0,46.59,86.4,63.3,317.33
10,2025-10-23 01:13:32,3042,3338.1,74.65,7,89.69,3,4.06,6.93,3.63,49.3,0,47.87,66.63,142.74,322.18
11,2025-10-23 01:13:32,2036,5540.91,93.17,2,76.96,12,4.81,10.44,3.02,38.13,1,52.03,74.41,146.54,264.57
12,2025-10-23 01:13:32,2034,4899.52,81.98,4,81.19,12,7.65,6.25,1.59,60.58,0,60.93,79.47,126.47,251.61
13,2025-10-23 01:13:32,2741,4522.1,100.0,3,81.15,12,2.43,11.42,2.02,44.11,0,59.56,77.0,77.15,293.64
14,2025-10-23 01:13:32,586,3184.87,73.11,1,80.3,8,2.21,4.5,3.2,40.64,0,53.88,85.94,90.82,286.6
15,2025-10-23 01:13:32,775,3846.46,97.36,4,89.15,9,3.83,8.87,2.92,48.22,0,67.93,79.79,104.36,234.55
16,2025-10-23 01:13:32,1937,6510.78,81.98,4,84.03,11,7.08,8.95,2.42,40.87,0,27.22,66.39,78.89,270.24
17,2025-10-23 01:13:32,1487,6001.83,73.49,8,83.68,10,1.96,6.41,2.52,45.83,0,57.57,96.79,150.77,248.25
18,2025-10-23 01:13:32,2814,3044.89,75.16,6,74.98,0,0.0,8.85,3.7,53.44,1,59.4,76.94,104.33,207.3
19,2025-10-23 01:13:32,1591,5198.66,76.8,2,88.18,8,4.1,10.56,2.48,53.48,0,31.41,73.53,18.9,314.52
20,2025-10-23 01:13:32,1087,6502.77,84.24,8,78.8,5,6.1,3.57,2.91,41.02,0,27.46,84.64,110.18,252.76
21,2025-10-23 01:13:32,3965,1661.19,85.23,7,85.3,10,7.4,9.01,5.17,45.12,0,38.81,77.49,89.56,352.44
22,2025-10-23 01:13:32,2274,6086.72,74.26,6,86.39,24,4.07,3.01,1.58,60.74,0,40.08,78.99,97.75,168.73
23,2025-10-23 01:13:32,2567,3674.75,79.76,4,91.8,11,4.18,6.07,1.15,54.96,0,61.3,99.92,88.94,222.16
24,2025-10-23 01:13:32,1075,6141.2,100.0,3,78.46,8,7.31,11.26,3.78,70.75,0,40.78,72.25,124.21,251.63
25,2025-10-23 01:13:32,1955,3473.48,97.28,4,69.9,14,1.26,6.84,2.32,61.8,1,37.15,71.82,133.59,306.87
26,2025-10-23 01:13:32,2610,1390.24,84.36,7,85.92,12,4.22,5.65,2.68,61.44,0,40.83,76.17,108.49,269.97
