mr_id,updated,prod_volume,prod_cost,supl_quality,delivery_delay,quality_sc,mainten_hours,downtime_perc,inv_turnover,stockout_rate,worker_prod,safety_incid,energy_cons,energy_eff,add_proc_time,add_mater_cost
1,2025-10-30 00:14:00,1119,4933.75,88.18,5,92.67,10,4.21,9.63,3.76,32.58,0,64.58,71.58,116.56,179.86
2,2025-10-21 00:14:00,796,8589.12,93.9,7,77.88,17,5.63,7.9,3.06,44.54,1,49.8,64.93,89.68,244.59
3,2025-11-01 00:14:00,2444,3964.78,85.58,0,83.67,12,4.33,7.63,3.39,39.08,0,41.0,75.48,96.57,305.61
4,2025-11-14 00:14:00,2884,5447.58,80.1,6,82.85,5,4.81,7.29,4.25,51.35,0,26.62,69.36,104.43,284.26
5,2025-10-20 00:14:00,2467,4967.15,66.88,3,87.94,17,3.94,10.36,1.67,59.94,0,62.29,60.06,77.15,320.1
6,2025-10-20 00:14:00,432,7376.79,69.35,1,77.01,13,1.97,6.75,2.65,56.46,0,56.36,87.55,106.31,234.86
7,2025-11-15 00:14:00,2410,10000.0,76.95,6,87.31,7,5.64,8.09,2.23,26.28,0,35.51,70.02,145.91,317.3
8,2025-11-03 00:14:00,1195,3938.26,73.9,7,95.12,7,8.51,8.1,3.38,70.42,0,41.92,62.32,76.66,240.33
9,2025-10-16 00:14:00,3169,4021.12,78.13,4,78.18,11,5.04,7.0,4.23,52.95,0,43.0,73.32,135.15,323.58
10,2025-10-31 00:14:00,2866,7088.32,80.57,6,85.95,12,5.45,5.26,2.4,42.24,1,27.76,75.68,144.94,248.91
11,2025-10-17 00:14:00,1560,6363.78,85.3,8,81.69,10,6.39,8.65,0.61,51.57,0,37.73,57.54,75.52,285.36
12,2025-10-17 00:14:00,1986,8693.41,79.3,7,87.13,11,2.46,7.88,2.59,51.76,0,32.99,78.32,56.35,323.76
13,2025-10-26 00:14:00,1440,6167.86,84.87,8,85.1,18,8.41,9.0,3.91,43.33,0,43.81,64.53,109.06,240.33
14,2025-09-25 00:14:00,2437,4281.42,80.64,6,81.79,15,5.4,6.93,3.54,51.98,0,38.92,92.11,83.58,260.92
15,2025-09-28 00:14:00,3455,6181.31,60.25,5,87.44,10,8.26,10.44,3.43,43.93,0,25.59,80.24,156.06,314.44
16,2025-10-15 00:14:00,1514,7217.41,70.61,1,94.02,14,3.53,6.25,2.72,45.96,0,80.34,71.0,101.04,243.35
17,2025-10-08 00:14:00,3004,6640.96,78.56,4,84.05,4,8.64,11.42,1.72,43.14,0,68.79,67.55,75.93,183.96
18,2025-10-27 00:14:00,1969,6014.55,67.9,3,88.6,11,6.55,4.5,3.52,35.67,0,38.31,73.95,65.59,357.15
19,2025-10-10 00:14:00,1707,7133.35,86.0,9,78.53,19,6.11,8.87,2.17,51.46,0,54.09,81.13,132.7,226.51
20,2025-10-02 00:14:00,2392,7338.59,95.31,4,80.22,8,5.47,8.95,5.18,55.85,0,56.26,74.75,82.86,257.94
21,2025-11-13 00:14:00,1464,7764.32,92.19,5,87.36,5,4.5,6.41,3.57,55.15,0,67.87,72.83,101.31,307.8
22,2025-10-20 00:14:00,1946,6297.42,77.87,6,92.42,6,7.4,8.85,2.42,58.2,0,37.72,75.58,128.67,219.58
23,2025-10-24 00:14:00,1302,4665.76,94.91,5,86.78,4,5.28,10.56,2.39,53.24,0,66.38,68.96,85.47,199.61
24,2025-10-02 00:14:00,4464,5293.43,81.49,8,83.43,6,1.07,3.57,2.91,44.67,0,41.78,71.57,98.62,262.69
25,2025-10-15 00:14:00,2535,7413.02,76.63,3,85.0,8,2.77,9.01,2.76,58.4,0,29.96,54.14,99.5,160.35
26,2025-10-24 00:14:00,1800,3366.13,73.87,5,78.75,2,4.63,3.01,4.12,36.42,0,60.86,84.74,120.5,235.6
27,2025-10-06 00:14:00,2713,5737.35,76.98,3,88.02,10,5.62,6.07,3.19,40.99,0,69.36,77.99,117.72,262.25
28,2025-10-28 00:14:00,2387,4213.32,76.12,2,89.41,14,4.89,11.26,2.27,40.36,0,88.82,67.27,93.4,236.5
29,2025-10-14 00:14:00,2279,5057.49,81.7,3,82.74,5,7.44,6.84,4.89,60.8,0,32.0,93.99,101.91,172.83
